Команда 1,Команда 2,Победитель,Дата матча
Vitality,FaZe,Vitality,2024-11-18
Vitality,BetBoom,Vitality,2024-11-17
Vitality,GamerLegion,Vitality,2024-11-17
Vitality,G2,G2,2024-11-02
Vitality,MOUZ,Vitality,2024-11-01
Vitality,Liquid,Vitality,2024-10-31
Vitality,Spirit,Spirit,2024-10-30
Vitality,MOUZ,MOUZ,2024-10-12
Vitality,HEROIC,HEROIC,2024-10-09
Vitality,The MongolZ,Vitality,2024-10-08
Vitality,9z,Vitality,2024-10-07
Vitality,Natus Vincere,Vitality,2024-10-05
Vitality,G2,G2,2024-09-28
Vitality,Liquid,Vitality,2024-09-27
Vitality,Astralis,Vitality,2024-09-25
Vitality,Eternal Fire,Eternal Fire,2024-09-20
Vitality,Liquid,Vitality,2024-09-15
Vitality,FURIA,Vitality,2024-09-12
Vitality,ATOX,Vitality,2024-09-11
Natus Vincere,SAW,Natus Vincere,2024-11-19
Natus Vincere,MOUZ,MOUZ,2024-11-18
Natus Vincere,SINNERS,Natus Vincere,2024-11-17
Natus Vincere,fnatic,Natus Vincere,2024-11-17
Natus Vincere,FaZe,FaZe,2024-10-31
Natus Vincere,Astralis,Astralis,2024-10-30
Natus Vincere,MOUZ,Natus Vincere,2024-10-14
Natus Vincere,HEROIC,Natus Vincere,2024-10-12
Natus Vincere,Virtus.pro,Natus Vincere,2024-10-11
Natus Vincere,FURIA,FURIA,2024-10-09
Natus Vincere,Liquid,Natus Vincere,2024-10-08
Natus Vincere,Imperial,Natus Vincere,2024-10-07
Natus Vincere,Vitality,Vitality,2024-10-05
Natus Vincere,G2,G2,2024-09-29
Natus Vincere,FaZe,Natus Vincere,2024-09-29
Natus Vincere,G2,Natus Vincere,2024-09-26
Natus Vincere,Falcons,Natus Vincere,2024-09-25
Natus Vincere,Eternal Fire,Natus Vincere,2024-09-22
Natus Vincere,G2,Natus Vincere,2024-09-21
Natus Vincere,Spirit,Natus Vincere,2024-09-20
Natus Vincere,Eternal Fire,Natus Vincere,2024-09-07
Natus Vincere,Ninjas in Pyjamas,Natus Vincere,2024-09-04
Natus Vincere,Lynn Vision,Natus Vincere,2024-09-03
Spirit,Ninjas in Pyjamas,Spirit,2024-11-24
Spirit,Sashi,Spirit,2024-11-24
Spirit,G2,G2,2024-11-23
Spirit,Aurora,Spirit,2024-11-22
Spirit,Passion UA,Passion UA,2024-11-21
Spirit,B8,Spirit,2024-11-21
Spirit,G2,G2,2024-11-03
Spirit,Astralis,Spirit,2024-11-02
Spirit,FaZe,Spirit,2024-11-01
Spirit,G2,G2,2024-10-31
Spirit,Vitality,Spirit,2024-10-30
Spirit,G2,G2,2024-09-27
Spirit,Astralis,Spirit,2024-09-26
Spirit,Liquid,Liquid,2024-09-25
Spirit,Natus Vincere,Natus Vincere,2024-09-20
Spirit,Imperial,Spirit,2024-09-18
Spirit,FURIA,Spirit,2024-09-17
Spirit,3DMAX,Spirit,2024-09-06
Spirit,The MongolZ,Spirit,2024-09-06
Spirit,MIBR,MIBR,2024-09-05
Spirit,Wildcard,Spirit,2024-09-04
MOUZ,Natus Vincere,MOUZ,2024-11-18
MOUZ,Sangal,MOUZ,2024-11-17
MOUZ,Nemiga,MOUZ,2024-11-17
MOUZ,Vitality,Vitality,2024-11-01
MOUZ,Astralis,Astralis,2024-10-31
MOUZ,FaZe,MOUZ,2024-10-30
MOUZ,Natus Vincere,Natus Vincere,2024-10-14
MOUZ,FURIA,MOUZ,2024-10-12
